stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,platform_code,parent_station,level_id,zone_id
9890,9890,Robert St S & Curtice St,Across From N,44.922824,-93.080608,https://www.metrotransit.org/nextrip/9890,0,1,,,,
9891,9891,Robert St S & Sidney St,Nearside N,44.923795,-93.080605,https://www.metrotransit.org/nextrip/9891,0,1,,,,
9893,9893,State St & Morton St,Nearside N,44.925672,-93.079591,https://www.metrotransit.org/nextrip/9893,0,1,,,,
9894,9894,State St & King St,Nearside N,44.927885,-93.078889,https://www.metrotransit.org/nextrip/9894,0,1,,,,
9895,9895,State St & King St,Nearside S,44.928104,-93.078942,https://www.metrotransit.org/nextrip/9895,0,1,,,,
9896,9896,State St & Morton St,Across From S,44.925750,-93.079709,https://www.metrotransit.org/nextrip/9896,0,1,,,,
9898,9898,State St & Robert St S,Nearside S,44.924302,-93.080531,https://www.metrotransit.org/nextrip/9898,0,1,,,,
9899,9899,Robert St S & Curtice St,Nearside S,44.923196,-93.080815,https://www.metrotransit.org/nextrip/9899,0,1,,,,
9901,9901,Robert St S & Winona St,Nearside S,44.921444,-93.080817,https://www.metrotransit.org/nextrip/9901,0,1,,,,
9903,9903,Robert St S & Annapolis St,Nearside S,44.919740,-93.080824,https://www.metrotransit.org/nextrip/9903,0,1,,,,
9904,9904,Robert St S & Haskell St,Nearside S,44.918064,-93.080804,https://www.metrotransit.org/nextrip/9904,0,1,,,,
9905,9905,Robert St S & Bernard St,Nearside S,44.916285,-93.080786,https://www.metrotransit.org/nextrip/9905,0,1,,,,
9906,9906,Robert St S & Arion St,Nearside S,44.914677,-93.080774,https://www.metrotransit.org/nextrip/9906,0,1,,,,
9908,9908,Robert St S & Butler Ave,Nearside S,44.912651,-93.080770,https://www.metrotransit.org/nextrip/9908,0,1,,,,
9909,9909,Marie Ave & Robert St S,Farside E,44.890809,-93.080148,https://www.metrotransit.org/nextrip/9909,0,1,,,,
9910,9910,Marie Ave & #178 - Animal Hospital,Nearside E,44.891737,-93.077774,https://www.metrotransit.org/nextrip/9910,0,1,,,,
9911,9911,Marie Ave & #220,Nearside E,44.891973,-93.075511,https://www.metrotransit.org/nextrip/9911,0,1,,,,
9912,9912,Marie Ave & Kathleen Dr,Nearside E,44.890791,-93.073515,https://www.metrotransit.org/nextrip/9912,0,2,,,,
9914,9914,Marie Ave & Oakdale Ave,Nearside E,44.890265,-93.070594,https://www.metrotransit.org/nextrip/9914,0,2,,,,
9915,9915,Oakdale Ave & Westview Dr,Nearside S,44.888960,-93.070501,https://www.metrotransit.org/nextrip/9915,0,2,,,,
9916,9916,Oakdale Ave & Country Club Manor,Nearside S,44.887600,-93.070501,https://www.metrotransit.org/nextrip/9916,0,1,,,,
9917,9917,Oakdale Ave & Southview Acres,Across From S,44.885642,-93.070491,https://www.metrotransit.org/nextrip/9917,0,2,,,,
9918,9918,Mendota Rd & Oakdale Ave,Farside E,44.883493,-93.069816,https://www.metrotransit.org/nextrip/9918,0,1,,,,
9919,9919,Mendota Rd & Audrey Ave E,Nearside E,44.883848,-93.068096,https://www.metrotransit.org/nextrip/9919,0,1,,,,
9922,9922,Southview Blvd & 21st Ave S,Nearside E,44.885951,-93.060344,https://www.metrotransit.org/nextrip/9922,0,1,,,,
9924,9924,Southview Blvd & 19th Ave S,Nearside E,44.888905,-93.057776,https://www.metrotransit.org/nextrip/9924,0,1,,,,
9926,9926,Southview Blvd & Oakridge Dr,Nearside E,44.888909,-93.055283,https://www.metrotransit.org/nextrip/9926,0,1,,,,
9928,9928,Southview Blvd & 15th Ave S,Nearside E,44.888906,-93.052714,https://www.metrotransit.org/nextrip/9928,0,1,,,,
9930,9930,Southview Blvd & 12th / 13th Ave S,Midblock E,44.888886,-93.049437,https://www.metrotransit.org/nextrip/9930,0,1,,,,
9932,9932,Southview Blvd & 11th Ave S,Nearside E,44.888872,-93.047655,https://www.metrotransit.org/nextrip/9932,0,1,,,,
9938,9938,Southview Blvd & 5th Ave S,Nearside E,44.888785,-93.040057,https://www.metrotransit.org/nextrip/9938,0,1,,,,
9943,9943,Thompson Ave & Christensen Ave,Nearside E,44.901477,-93.068053,https://www.metrotransit.org/nextrip/9943,0,1,,,,
9944,9944,Thompson Ave & Levander Way,Nearside E,44.901489,-93.062925,https://www.metrotransit.org/nextrip/9944,0,2,,,,
9946,9946,Thompson Ave & Star Lane (21st Ave N),Nearside E,44.901485,-93.061005,https://www.metrotransit.org/nextrip/9946,0,2,,,,
9947,9947,Thompson Ave & Cresthaven Dr,Nearside E,44.901482,-93.059740,https://www.metrotransit.org/nextrip/9947,0,2,,,,
9949,9949,Thompson Ave & 19th Ave N,Nearside E,44.901477,-93.057842,https://www.metrotransit.org/nextrip/9949,0,2,,,,
9950,9950,Thompson Ave & 18th Ave N,Nearside E,44.901471,-93.056608,https://www.metrotransit.org/nextrip/9950,0,1,,,,
9951,9951,Thompson Ave & 17th Ave N,Nearside E,44.901472,-93.055292,https://www.metrotransit.org/nextrip/9951,0,1,,,,
9953,9953,Thompson Ave & 15th Ave N,Nearside E,44.901476,-93.052749,https://www.metrotransit.org/nextrip/9953,0,1,,,,
9954,9954,Thompson Ave & 14th Ave N,Nearside E,44.901475,-93.051502,https://www.metrotransit.org/nextrip/9954,0,1,,,,
9956,9956,Thompson Ave & 12th Ave N,Nearside E,44.901472,-93.048946,https://www.metrotransit.org/nextrip/9956,0,1,,,,
9957,9957,12th Ave N & Congress St,Nearside S,44.899930,-93.048885,https://www.metrotransit.org/nextrip/9957,0,1,,,,
9958,9958,12th Ave N & Dwane St,Nearside S,44.898674,-93.048884,https://www.metrotransit.org/nextrip/9958,0,1,,,,
9959,9959,12th Ave N & 4th St N,Nearside S,44.896229,-93.048828,https://www.metrotransit.org/nextrip/9959,0,1,,,,
9960,9960,12th Ave N & 3rd St N,Nearside S,44.894430,-93.048836,https://www.metrotransit.org/nextrip/9960,0,1,,,,
9961,9961,12th Ave N & 2nd St N,Nearside S,44.892656,-93.048839,https://www.metrotransit.org/nextrip/9961,0,1,,,,
9962,9962,12th Ave N & Marie Ave,Nearside S,44.890853,-93.048844,https://www.metrotransit.org/nextrip/9962,0,1,,,,
9963,9963,12th Ave & Southview Blvd,Nearside S,44.889053,-93.048852,https://www.metrotransit.org/nextrip/9963,0,1,,,,
9964,9964,5th Ave S & 3rd St S,Nearside S,44.887185,-93.039969,https://www.metrotransit.org/nextrip/9964,0,1,,,,
9965,9965,5th Ave S & 4th St S,Nearside S,44.885431,-93.039972,https://www.metrotransit.org/nextrip/9965,0,1,,,,
9966,9966,5th Ave S & 5th St S,Nearside S,44.883649,-93.040038,https://www.metrotransit.org/nextrip/9966,0,1,,,,
9967,9967,5th Ave S & 6th St S,Nearside S,44.881836,-93.040059,https://www.metrotransit.org/nextrip/9967,0,1,,,,
9968,9968,5th Ave S & 7th St S,Nearside S,44.879995,-93.040021,https://www.metrotransit.org/nextrip/9968,0,1,,,,
9970,9970,5th Ave S & 9th St S,Nearside S,44.876402,-93.039993,https://www.metrotransit.org/nextrip/9970,0,1,,,,
9976,9976,5th Ave S & Dale St W,Nearside S,44.870986,-93.039988,https://www.metrotransit.org/nextrip/9976,0,1,,,,
